펀드코드,펀드명,날짜,기준치 또는 성장률,,,,,,,,,
KLVL34000N1,주식성장형Ⅱ,2020,986.72,,,,,,,,,
KLVL34000N1,주식성장형Ⅱ,2021,1214.8,,,,,,,,,
KLVL34000N1,주식성장형Ⅱ,최근 1년 수익률,81.22489299,,,,,,,,,
KLVL34000N1,주식성장형Ⅱ,연평균 수익률,104.016576,,,,,,,,,
KLVL34000N1,주식성장형Ⅱ,2031 예상 기준가,1731.521015,,,,,,,,,
KLVL34000N2,프리미엄포커스주식형,2012,941.76,,,,,,,,,
KLVL34000N2,프리미엄포커스주식형,2013,942.78,,,,,,,,,
KLVL34000N2,프리미엄포커스주식형,2014,1009.49,,,,,,,,,
KLVL34000N2,프리미엄포커스주식형,2015,1106.79,,,,,,,,,
KLVL34000N2,프리미엄포커스주식형,2016,1042.2,,,,,,,,,
KLVL34000N2,프리미엄포커스주식형,2017,1107.16,,,,,,,,,
KLVL34000N2,프리미엄포커스주식형,2018,1063.18,,,,,,,,,
KLVL34000N2,프리미엄포커스주식형,2019,978.54,,,,,,,,,
KLVL34000N2,프리미엄포커스주식형,2020,1084.95,,,,,,,,,
KLVL34000N2,프리미엄포커스주식형,2021,1470.36,,,,,,,,,
KLVL34000N2,프리미엄포커스주식형,최근 1년 수익률,73.78805191,,,,,,,,,
KLVL34000N2,프리미엄포커스주식형,연평균 수익률,105.7426895,,,,,,,,,
KLVL34000N2,프리미엄포커스주식형,2031 예상 기준가,2430.394916,,,,,,,,,
KLVL34000N3,ETF0국내신성장주식,2012,966.07,,,,,,,,,
KLVL34000N3,ETF0국내신성장주식,2013,972.03,,,,,,,,,
KLVL34000N3,ETF0국내신성장주식,2014,1090.16,,,,,,,,,
KLVL34000N3,ETF0국내신성장주식,2015,1020.98,,,,,,,,,
KLVL34000N3,ETF0국내신성장주식,2016,1064.56,,,,,,,,,
KLVL34000N3,ETF0국내신성장주식,2017,1204.96,,,,,,,,,
KLVL34000N3,ETF0국내신성장주식,2018,1221.35,,,,,,,,,
KLVL34000N3,ETF0국내신성장주식,2019,1061.9,,,,,,,,,
KLVL34000N3,ETF0국내신성장주식,2020,1262.93,,,,,,,,,
KLVL34000N3,ETF0국내신성장주식,2021,1635.34,,,,,,,,,
KLVL34000N3,ETF0국내신성장주식,최근 1년 수익률,77.22736556,,,,,,,,,
KLVL34000N3,ETF0국내신성장주식,연평균 수익률,106.7338792,,,,,,,,,
KLVL34000N3,ETF0국내신성장주식,2031 예상 기준가,2939.873907,,,,,,,,,
KLVL34000N4,국내채권형,2012,1034.71,,,,,,,,,
KLVL34000N4,국내채권형,2013,1056.21,,,,,,,,,
KLVL34000N4,국내채권형,2014,1095.12,,,,,,,,,
KLVL34000N4,국내채권형,2015,1138.68,,,,,,,,,
KLVL34000N4,국내채권형,2016,1180.72,,,,,,,,,
KLVL34000N4,국내채권형,2017,1174.12,,,,,,,,,
KLVL34000N4,국내채권형,2018,1191.68,,,,,,,,,
KLVL34000N4,국내채권형,2019,1242.78,,,,,,,,,
KLVL34000N4,국내채권형,2020,1258.4,,,,,,,,,
KLVL34000N4,국내채권형,2021,1255.65,,,,,,,,,
KLVL34000N4,국내채권형,최근 1년 수익률,100.2190101,,,,,,,,,
KLVL34000N4,국내채권형,연평균 수익률,102.1882715,,,,,,,,,
KLVL34000N4,국내채권형,2031 예상 기준가,1525.731379,,,,,,,,,
KLVL34000N5,이머징마켓주식형,2012,888.65,,,,,,,,,
KLVL34000N5,이머징마켓주식형,2013,887.68,,,,,,,,,
KLVL34000N5,이머징마켓주식형,2014,1008.77,,,,,,,,,
KLVL34000N5,이머징마켓주식형,2015,936.62,,,,,,,,,
KLVL34000N5,이머징마켓주식형,2016,888.11,,,,,,,,,
KLVL34000N5,이머징마켓주식형,2017,1027.74,,,,,,,,,
KLVL34000N5,이머징마켓주식형,2018,1001.54,,,,,,,,,
KLVL34000N5,이머징마켓주식형,2019,1038.37,,,,,,,,,
KLVL34000N5,이머징마켓주식형,2020,1154.4,,,,,,,,,
KLVL34000N5,이머징마켓주식형,2021,1371.31,,,,,,,,,
KLVL34000N5,이머징마켓주식형,최근 1년 수익률,84.18227826,,,,,,,,,
KLVL34000N5,이머징마켓주식형,연평균 수익률,105.334976,,,,,,,,,
KLVL34000N5,이머징마켓주식형,2031 예상 기준가,2189.218191,,,,,,,,,
KLVL34000N6,브릭스주식형,2012,876.03,,,,,,,,,
KLVL34000N6,브릭스주식형,2013,857.37,,,,,,,,,
KLVL34000N6,브릭스주식형,2014,977.65,,,,,,,,,
KLVL34000N6,브릭스주식형,2015,839.04,,,,,,,,,
KLVL34000N6,브릭스주식형,2016,912.67,,,,,,,,,
KLVL34000N6,브릭스주식형,2017,1120.54,,,,,,,,,
KLVL34000N6,브릭스주식형,2018,1110.6,,,,,,,,,
KLVL34000N6,브릭스주식형,2019,1249.4,,,,,,,,,
KLVL34000N6,브릭스주식형,2020,1590.94,,,,,,,,,
KLVL34000N6,브릭스주식형,2021,1766.97,,,,,,,,,
KLVL34000N6,브릭스주식형,최근 1년 수익률,90.03774824,,,,,,,,,
KLVL34000N6,브릭스주식형,연평균 수익률,108.8093413,,,,,,,,,
KLVL34000N6,브릭스주식형,2031 예상 기준가,3777.676863,,,,,,,,,
KLVL34000N7,선진마켓주식형,2012,991.22,,,,,,,,,
KLVL34000N7,선진마켓주식형,2013,1092.48,,,,,,,,,
KLVL34000N7,선진마켓주식형,2014,1256.25,,,,,,,,,
KLVL34000N7,선진마켓주식형,2015,1493.38,,,,,,,,,
KLVL34000N7,선진마켓주식형,2016,1535.99,,,,,,,,,
KLVL34000N7,선진마켓주식형,2017,1677.47,,,,,,,,,
KLVL34000N7,선진마켓주식형,2018,1867.23,,,,,,,,,
KLVL34000N7,선진마켓주식형,2019,2036.37,,,,,,,,,
KLVL34000N7,선진마켓주식형,2020,2179.12,,,,,,,,,
KLVL34000N7,선진마켓주식형,2021,2553.91,,,,,,,,,
KLVL34000N7,선진마켓주식형,최근 1년 수익률,85.32485483,,,,,,,,,
KLVL34000N7,선진마켓주식형,연평균 수익률,111.1918236,,,,,,,,,
KLVL34000N7,선진마켓주식형,2031 예상 기준가,6635.310732,,,,,,,,,
KLVL34000N8,글로벌성장주식형,2012,969.65,,,,,,,,,
KLVL34000N8,글로벌성장주식형,2013,1053.63,,,,,,,,,
KLVL34000N8,글로벌성장주식형,2014,1086.08,,,,,,,,,
KLVL34000N8,글로벌성장주식형,2015,1202.38,,,,,,,,,
KLVL34000N8,글로벌성장주식형,2016,1218.96,,,,,,,,,
KLVL34000N8,글로벌성장주식형,2017,1591.93,,,,,,,,,
KLVL34000N8,글로벌성장주식형,2018,1906.91,,,,,,,,,
KLVL34000N8,글로벌성장주식형,2019,2117.73,,,,,,,,,
KLVL34000N8,글로벌성장주식형,2020,3072.86,,,,,,,,,
KLVL34000N8,글로벌성장주식형,2021,3496.24,,,,,,,,,
KLVL34000N8,글로벌성장주식형,최근 1년 수익률,87.89041942,,,,,,,,,
KLVL34000N8,글로벌성장주식형,연평균 수익률,116.0162793,,,,,,,,,
KLVL34000N8,글로벌성장주식형,2031 예상 기준가,13312.86834,,,,,,,,,
KLVL34000N9,글로벌컨슈머주식형,2012,1017.3,,,,,,,,,
KLVL34000N9,글로벌컨슈머주식형,2013,1180.53,,,,,,,,,
KLVL34000N9,글로벌컨슈머주식형,2014,1365.84,,,,,,,,,
KLVL34000N9,글로벌컨슈머주식형,2015,1448.46,,,,,,,,,
KLVL34000N9,글로벌컨슈머주식형,2016,1445.93,,,,,,,,,
KLVL34000N9,글로벌컨슈머주식형,2017,1587.76,,,,,,,,,
KLVL34000N9,글로벌컨슈머주식형,2018,1886.67,,,,,,,,,
KLVL34000N9,글로벌컨슈머주식형,2019,1861.81,,,,,,,,,
KLVL34000N9,글로벌컨슈머주식형,2020,2362.42,,,,,,,,,
KLVL34000N9,글로벌컨슈머주식형,2021,2701.13,,,,,,,,,
KLVL34000N9,글로벌컨슈머주식형,최근 1년 수익률,87.46043323,,,,,,,,,
KLVL34000N9,글로벌컨슈머주식형,연평균 수익률,111.7955405,,,,,,,,,
KLVL34000N9,글로벌컨슈머주식형,2031 예상 기준가,7368.274658,,,,,,,,,
KLVL34000NA,글로벌채권형Ⅱ,2012,1034.82,,,,,,,,,
KLVL34000NA,글로벌채권형Ⅱ,2013,1060.51,,,,,,,,,
KLVL34000NA,글로벌채권형Ⅱ,2014,1140.59,,,,,,,,,
KLVL34000NA,글로벌채권형Ⅱ,2015,1160.28,,,,,,,,,
KLVL34000NA,글로벌채권형Ⅱ,2016,1227.03,,,,,,,,,
KLVL34000NA,글로벌채권형Ⅱ,2017,1251.77,,,,,,,,,
KLVL34000NA,글로벌채권형Ⅱ,2018,1230.96,,,,,,,,,
KLVL34000NA,글로벌채권형Ⅱ,2019,1312.38,,,,,,,,,
KLVL34000NA,글로벌채권형Ⅱ,2020,1340.81,,,,,,,,,
KLVL34000NA,글로벌채권형Ⅱ,2021,1369.15,,,,,,,,,
KLVL34000NA,글로벌채권형Ⅱ,최근 1년 수익률,97.93010262,,,,,,,,,
KLVL34000NA,글로벌채권형Ⅱ,연평균 수익률,103.195662,,,,,,,,,
KLVL34000NA,글로벌채권형Ⅱ,2031 예상 기준가,1817.205335,,,,,,,,,
KLVL34000NB,인덱스주식형,2012,941.03,,,,,,,,,
KLVL34000NB,인덱스주식형,2013,953.39,,,,,,,,,
KLVL34000NB,인덱스주식형,2014,1009.22,,,,,,,,,
KLVL34000NB,인덱스주식형,2015,897.49,,,,,,,,,
KLVL34000NB,인덱스주식형,2016,997.95,,,,,,,,,
KLVL34000NB,인덱스주식형,2017,1198.27,,,,,,,,,
KLVL34000NB,인덱스주식형,2018,1181.78,,,,,,,,,
KLVL34000NB,인덱스주식형,2019,1048.98,,,,,,,,,
KLVL34000NB,인덱스주식형,2020,1257.21,,,,,,,,,
KLVL34000NB,인덱스주식형,2021,1701.25,,,,,,,,,
KLVL34000NB,인덱스주식형,최근 1년 수익률,73.89919177,,,,,,,,,
KLVL34000NB,인덱스주식형,연평균 수익률,107.7690907,,,,,,,,,
KLVL34000NB,인덱스주식형,2031 예상 기준가,3335.923662,,,,,,,,,
KLVL34000NC,가치주식형,2012, ,,,,,,,,,
KLVL34000NC,가치주식형,2013,1024.88,,,,,,,,,
KLVL34000NC,가치주식형,2014,1140.31,,,,,,,,,
KLVL34000NC,가치주식형,2015,1053.66,,,,,,,,,
KLVL34000NC,가치주식형,2016,1099.77,,,,,,,,,
KLVL34000NC,가치주식형,2017,1300.51,,,,,,,,,
KLVL34000NC,가치주식형,2018,1239.7,,,,,,,,,
KLVL34000NC,가치주식형,2019,1064.49,,,,,,,,,
KLVL34000NC,가치주식형,2020,1189.86,,,,,,,,,
KLVL34000NC,가치주식형,2021,1598.84,,,,,,,,,
KLVL34000NC,가치주식형,최근 1년 수익률,74.42020465,,,,,,,,,
KLVL34000NC,가치주식형,연평균 수익률,106.7041899,,,,,,,,,
KLVL34000NC,가치주식형,2031 예상 기준가,2686.932695,,,,,,,,,
KLVL34000ND,아시아그레이트컨슈머0주식형,2012, ,,,,,,,,,
KLVL34000ND,아시아그레이트컨슈머0주식형,2013,1076.91,,,,,,,,,
KLVL34000ND,아시아그레이트컨슈머0주식형,2014,1311.09,,,,,,,,,
KLVL34000ND,아시아그레이트컨슈머0주식형,2015,1394.24,,,,,,,,,
KLVL34000ND,아시아그레이트컨슈머0주식형,2016,1359.34,,,,,,,,,
KLVL34000ND,아시아그레이트컨슈머0주식형,2017,1603.8,,,,,,,,,
KLVL34000ND,아시아그레이트컨슈머0주식형,2018,1666.37,,,,,,,,,
KLVL34000ND,아시아그레이트컨슈머0주식형,2019,1871.98,,,,,,,,,
KLVL34000ND,아시아그레이트컨슈머0주식형,2020,2487.67,,,,,,,,,
KLVL34000ND,아시아그레이트컨슈머0주식형,2021,2462.79,,,,,,,,,
KLVL34000ND,아시아그레이트컨슈머0주식형,최근 1년 수익률,101.0102364,,,,,,,,,
KLVL34000ND,아시아그레이트컨슈머0주식형,연평균 수익률,111.4622462,,,,,,,,,
KLVL34000ND,아시아그레이트컨슈머0주식형,2031 예상 기준가,5867.454211,,,,,,,,,
KLVL34000NE,아시아퍼시픽(AP)컨슈머0주식형,2012, ,,,,,,,,,
KLVL34000NE,아시아퍼시픽(AP)컨슈머0주식형,2013,987.46,,,,,,,,,
KLVL34000NE,아시아퍼시픽(AP)컨슈머0주식형,2014,1150.03,,,,,,,,,
KLVL34000NE,아시아퍼시픽(AP)컨슈머0주식형,2015,1154.16,,,,,,,,,
KLVL34000NE,아시아퍼시픽(AP)컨슈머0주식형,2016,1178.66,,,,,,,,,
KLVL34000NE,아시아퍼시픽(AP)컨슈머0주식형,2017,1430.75,,,,,,,,,
KLVL34000NE,아시아퍼시픽(AP)컨슈머0주식형,2018,1543.52,,,,,,,,,
KLVL34000NE,아시아퍼시픽(AP)컨슈머0주식형,2019,1777.09,,,,,,,,,
KLVL34000NE,아시아퍼시픽(AP)컨슈머0주식형,2020,2383.4,,,,,,,,,
KLVL34000NE,아시아퍼시픽(AP)컨슈머0주식형,2021,2393.62,,,,,,,,,
KLVL34000NE,아시아퍼시픽(AP)컨슈머0주식형,최근 1년 수익률,99.57303164,,,,,,,,,
KLVL34000NE,아시아퍼시픽(AP)컨슈머0주식형,연평균 수익률,112.2367859,,,,,,,,,
KLVL34000NE,아시아퍼시픽(AP)컨슈머0주식형,2031 예상 기준가,6027.49663,,,,,,,,,
KLVL34000NF,글로벌채권토탈리턴형,2012, ,,,,,,,,,
KLVL34000NF,글로벌채권토탈리턴형,2013,980.71,,,,,,,,,
KLVL34000NF,글로벌채권토탈리턴형,2014,1030.38,,,,,,,,,
KLVL34000NF,글로벌채권토탈리턴형,2015,1064.1,,,,,,,,,
KLVL34000NF,글로벌채권토탈리턴형,2016,1114.7,,,,,,,,,
KLVL34000NF,글로벌채권토탈리턴형,2017,1141.32,,,,,,,,,
KLVL34000NF,글로벌채권토탈리턴형,2018,1090,,,,,,,,,
KLVL34000NF,글로벌채권토탈리턴형,2019,1210.17,,,,,,,,,
KLVL34000NF,글로벌채권토탈리턴형,2020,1311.85,,,,,,,,,
KLVL34000NF,글로벌채권토탈리턴형,2021,1386.99,,,,,,,,,
KLVL34000NF,글로벌채권토탈리턴형,최근 1년 수익률,94.58251321,,,,,,,,,
KLVL34000NF,글로벌채권토탈리턴형,연평균 수익률,104.5173366,,,,,,,,,
KLVL34000NF,글로벌채권토탈리턴형,2031 예상 기준가,1975.058679,,,,,,,,,
KLVL34000NG,글로벌채권매크로전략형,2012, ,,,,,,,,,
KLVL34000NG,글로벌채권매크로전략형,2013,982.69,,,,,,,,,
KLVL34000NG,글로벌채권매크로전략형,2014,1065.87,,,,,,,,,
KLVL34000NG,글로벌채권매크로전략형,2015,1010.2,,,,,,,,,
KLVL34000NG,글로벌채권매크로전략형,2016,997.91,,,,,,,,,
KLVL34000NG,글로벌채권매크로전략형,2017,1120.81,,,,,,,,,
KLVL34000NG,글로벌채권매크로전략형,2018,1113.35,,,,,,,,,
KLVL34000NG,글로벌채권매크로전략형,2019,1176.24,,,,,,,,,
KLVL34000NG,글로벌채권매크로전략형,2020,1214.51,,,,,,,,,
KLVL34000NG,글로벌채권매크로전략형,2021,1293.67,,,,,,,,,
KLVL34000NG,글로벌채권매크로전략형,최근 1년 수익률,93.88097428,,,,,,,,,
KLVL34000NG,글로벌채권매크로전략형,연평균 수익률,103.6369096,,,,,,,,,
KLVL34000NG,글로벌채권매크로전략형,2031 예상 기준가,1721.627299,,,,,,,,,
KLVL34000NH,이머징마켓채권형,2012, ,,,,,,,,,
KLVL34000NH,이머징마켓채권형,2013,914.82,,,,,,,,,
KLVL34000NH,이머징마켓채권형,2014,1037.78,,,,,,,,,
KLVL34000NH,이머징마켓채권형,2015,1044.14,,,,,,,,,
KLVL34000NH,이머징마켓채권형,2016,1166.01,,,,,,,,,
KLVL34000NH,이머징마켓채권형,2017,1215.27,,,,,,,,,
KLVL34000NH,이머징마켓채권형,2018,1174.78,,,,,,,,,
KLVL34000NH,이머징마켓채권형,2019,1298.82,,,,,,,,,
KLVL34000NH,이머징마켓채권형,2020,1338.07,,,,,,,,,
KLVL34000NH,이머징마켓채권형,2021,1376.18,,,,,,,,,
KLVL34000NH,이머징마켓채권형,최근 1년 수익률,97.23074016,,,,,,,,,
KLVL34000NH,이머징마켓채권형,연평균 수익률,105.3808901,,,,,,,,,
KLVL34000NH,이머징마켓채권형,2031 예상 기준가,2093.004403,,,,,,,,,
KLVL34000NI,이머징국채투자형,2012, ,,,,,,,,,
KLVL34000NI,이머징국채투자형,2013,925.18,,,,,,,,,
KLVL34000NI,이머징국채투자형,2014,1030.31,,,,,,,,,
KLVL34000NI,이머징국채투자형,2015,1024.85,,,,,,,,,
KLVL34000NI,이머징국채투자형,2016,1159.18,,,,,,,,,
KLVL34000NI,이머징국채투자형,2017,1201.14,,,,,,,,,
KLVL34000NI,이머징국채투자형,2018,1159.37,,,,,,,,,
KLVL34000NI,이머징국채투자형,2019,1269.84,,,,,,,,,
KLVL34000NI,이머징국채투자형,2020,1264.23,,,,,,,,,
KLVL34000NI,이머징국채투자형,2021,1303.22,,,,,,,,,
KLVL34000NI,이머징국채투자형,최근 1년 수익률,97.00817974,,,,,,,,,
KLVL34000NI,이머징국채투자형,연평균 수익률,104.5316956,,,,,,,,,
KLVL34000NI,이머징국채투자형,2031 예상 기준가,1857.811713,,,,,,,,,
KLVL34000NJ,글로벌하이일드채권형,2012, ,,,,,,,,,
KLVL34000NJ,글로벌하이일드채권형,2013,998.26,,,,,,,,,
KLVL34000NJ,글로벌하이일드채권형,2014,1099.15,,,,,,,,,
KLVL34000NJ,글로벌하이일드채권형,2015,1082.83,,,,,,,,,
KLVL34000NJ,글로벌하이일드채권형,2016,1169.66,,,,,,,,,
KLVL34000NJ,글로벌하이일드채권형,2017,1266.57,,,,,,,,,
KLVL34000NJ,글로벌하이일드채권형,2018,1257.09,,,,,,,,,
KLVL34000NJ,글로벌하이일드채권형,2019,1314.42,,,,,,,,,
KLVL34000NJ,글로벌하이일드채권형,2020,1275.64,,,,,,,,,
KLVL34000NJ,글로벌하이일드채권형,2021,1404.22,,,,,,,,,
KLVL34000NJ,글로벌하이일드채권형,최근 1년 수익률,90.84331515,,,,,,,,,
KLVL34000NJ,글로벌하이일드채권형,연평균 수익률,104.4834085,,,,,,,,,
KLVL34000NJ,글로벌하이일드채권형,2031 예상 기준가,1994.407092,,,,,,,,,
KLVL34000NK,미국하이일드채권형,2012, ,,,,,,,,,
KLVL34000NK,미국하이일드채권형,2013,1003.91,,,,,,,,,
KLVL34000NK,미국하이일드채권형,2014,1098.36,,,,,,,,,
